"sex","age","statebrn","placebrn","marstat","edyrs","occ","usyrl","usdurl","usdocl","usstatel","usplacel","usmarl","usoccl","uswagel","usbyl","ustrips","reltrip","paistrip","sport","social","chicanos","blacks","asians","anglos","latinos","lodging","english","enghome","engwork","engfrnd","engneig","finhelp","bankacct","card","taxes","consular","rent","food","remit","remit1","remit2","remit3","remit4","remit5","savings","savings1","savings2","savings3","savings4","savings5","schools","unemp","foodst","welfare","afdc","wic","ssi","general","doctor","hospital","hlthpmt1","hlthpmt2","hlthpmt3","hlthpmt4","class"
1,73,11,0,2,0,830,1956,6,2,104,NA,NA,410,2,1,2,2,2,2,2,2,2,NA,2,2,3,0,NA,NA,NA,NA,NA,2,NA,NA,NA,0,45,30,11,8888,8888,8888,8888,0,8,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,32,11,0,2,3,529,1986,8,8,105,8735,NA,410,NA,NA,2,1,1,2,2,2,2,NA,2,2,3,0,NA,NA,NA,NA,2,2,NA,NA,NA,0,0,50,8,8888,8888,8888,8888,10,8888,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,70,11,0,2,4,549,1975,156,8,114,1600,NA,549,NA,NA,1,2,1,2,2,2,2,NA,2,1,2,1,NA,NA,NA,NA,2,2,NA,NA,NA,300,NA,300,2,11,8888,8888,8888,0,8888,8888,8888,8888,8888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
1,55,11,0,2,6,719,1977,6,8,106,2080,NA,410,1.5,1,2,2,2,2,2,2,2,NA,2,2,3,1,NA,NA,NA,NA,NA,2,NA,NA,NA,0,20,50,11,8888,8888,8888,8888,300,2,11,9,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,58,11,0,2,2,549,1975,12,8,105,4480,NA,410,NA,NA,2,2,1,2,2,2,2,NA,2,2,3,0,NA,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,8,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,42,11,0,2,6,559,1978,6,8,105,7320,NA,549,NA,NA,1,2,1,2,2,2,2,NA,2,2,2,0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,58,11,0,2,4,719,1978,6,8,105,5945,NA,410,NA,NA,2,2,1,2,2,2,2,NA,2,2,2,0,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,61,11,0,2,2,831,1947,4,8,144,7240,NA,410,1.5,1,1,NA,2,2,2,2,2,NA,1,1,3,0,NA,NA,NA,NA,4,2,NA,NA,NA,0,6,0,8888,8888,8888,8888,8888,NA,8,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,57,11,0,2,3,410,1957,6,2,105,4940,NA,410,0.9,1,4,2,1,2,2,2,2,NA,2,1,3,0,NA,NA,NA,NA,6,2,NA,NA,NA,0,6,0,8888,8888,8888,8888,8888,NA,NA,NA,NA,NA,NA,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
1,42,11,0,2,6,819,1960,12,8,105,NA,NA,410,NA,NA,1,2,1,2,2,2,2,NA,2,2,2,0,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8888,8888,8888,8888,2,2,2,2,NA,NA,NA,NA,2,2,8888,NA,NA,NA,2
